Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
Sholay,1975,204,8.2,,51762,Ramesh Sippy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan",,Action
Monty Python and the Holy Grail,1975,91,8.2,91.0,505568, Terry Jones,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",1.23,Adventure
Per qualche dollaro in più,1965,132,8.2,74.0,235782,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp",15.0,Western
The Great Escape,1963,172,8.2,86.0,227349,John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson",12.1,Adventure
To Kill a Mockingbird,1962,129,8.2,88.0,296506,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",,Crime
Yojinbo,1961,110,8.2,,113012,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa",,Action
Judgment at Nuremberg,1961,179,8.2,,70635,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",,Drama
Some Like It Hot,1959,121,8.2,98.0,246918,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",25.0,Comedy
Smultronstället,1957,91,8.2,88.0,98150,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand",,Drama
Det sjunde inseglet,1957,96,8.2,88.0,167963,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe",,Drama
Dial M for Murder,1954,105,8.2,75.0,160671,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams",0.01,Crime
Tôkyô monogatari,1953,136,8.2,,54492, Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara",,Drama
Rashomon,1950,88,8.2,98.0,154886,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura",0.1,Crime
All About Eve,1950,138,8.2,98.0,122031, Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",0.01,Drama
The Treasure of the Sierra Madre,1948,126,8.2,98.0,115625,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",5.01,Adventure
To Be or Not to Be,1942,99,8.2,86.0,31079,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart",,Comedy
The Gold Rush,1925,95,8.2,,102657,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",5.45,Adventure
Sherlock Jr.,1924,45,8.2,,43176,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly",0.98,Action
Portrait de la jeune fille en feu,2019,122,8.1,95.0,69081,line Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino",3.76,Drama
Pink,2016,136,8.1,,39924,Aniruddha Roy Chowdhury,"Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang",1.24,Drama
Koe no katachi,2016,130,8.1,78.0,52263,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono",,Animation
"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88.0,444589,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones",54.51,Comedy
Contratiempo,2016,106,8.1,,149754,Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie",,Crime
Ah-ga-ssi,2016,145,8.1,84.0,118540,wook Park,"Kim Min-hee, Jung-woo Ha, Cho Jin-woong, Moon So-ri",2.01,Drama
Mommy,2014,139,8.1,74.0,51776,Xavier Dolan,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard",3.49,Drama
Haider,2014,160,8.1,,50830,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon",0.9,Action
Logan,2017,137,8.1,77.0,660302,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",226.28,Action
Room,2015,118,8.1,86.0,378842,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",14.68,Drama
Relatos salvajes,2014,122,8.1,77.0,180650,n Szifron,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta",3.11,Comedy
Soul,2020,100,8.1,83.0,222918, Kemp Powers,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House",,Animation
Kis Uykusu,2014,196,8.1,88.0,47574,Nuri Bilge Ceylan,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan",0.17,Drama
PK,2014,153,8.1,,165370,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",10.62,Comedy
OMG: Oh My God!,2012,125,8.1,,52357,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar",0.92,Comedy
The Grand Budapest Hotel,2014,99,8.1,88.0,721451,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",59.1,Adventure
Gone Girl,2014,149,8.1,79.0,876308,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",167.77,Drama
Ôkami kodomo no Ame to Yuki,2012,117,8.1,71.0,39657,Mamoru Hosoda,"Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii",,Animation
Hacksaw Ridge,2016,139,8.1,71.0,445980,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",67.21,Biography
Inside Out,2015,95,8.1,94.0,628328, Ronnie Del Carmen,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",356.46,Animation
Barfi!,2012,151,8.1,,76464,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla",2.8,Comedy
12 Years a Slave,2013,134,8.1,96.0,649130,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",56.67,Biography
Rush,2013,123,8.1,74.0,438470,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",26.95,Action
Ford v Ferrari,2019,152,8.1,81.0,307090,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe",117.62,Action
Spotlight,2015,129,8.1,93.0,427812,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",45.06,Biography
Song of the Sea,2014,93,8.1,85.0,52972,Tomm Moore,"David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan",0.86,Animation
Kahaani,2012,122,8.1,,58323,Sujoy Ghosh,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui",1.04,Mystery
Prisoners,2013,153,8.1,70.0,612591,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo",61.0,Crime
Mad Max: Fury Road,2015,120,8.1,90.0,895982,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",154.06,Action
A Wednesday,2008,104,8.1,,74358,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Aamir Bashir",,Action
Zack Snyder's Justice League,2021,242,8.1,,262704,Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams",,Action
Gran Torino,2008,116,8.1,72.0,727416,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her",148.1,Drama
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,776293,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",381.01,Adventure
Okuribito,2008,130,8.1,68.0,49085, Takita,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki",1.5,Drama
Hachi: A Dog's Tale,2009,93,8.1,,257701,m,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",,Biography
Mary and Max,2009,92,8.1,,166301,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries",,Animation
How to Train Your Dragon,2010,98,8.1,75.0,675177, Chris Sanders,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson",217.58,Animation
Into the Wild,2007,148,8.1,73.0,580707,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden",18.35,Adventure
No Country for Old Men,2007,122,8.1,91.0,870920, Joel Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",74.28,Crime
Lage Raho Munna Bhai,2006,144,8.1,,43519,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani",2.22,Comedy
Dare mo shiranai,2004,141,8.1,88.0,25312,Hirokazu Koreeda,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu",0.68,Drama
Million Dollar Baby,2004,132,8.1,86.0,642966,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel",100.49,Drama
Hotel Rwanda,2004,121,8.1,79.0,337328,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali",23.53,Biography
Taegukgi hwinalrimyeo,2004,140,8.1,64.0,38036,kyu Kang,"Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong",1.11,Action
Before Sunset,2004,80,8.1,90.0,240128,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès",5.82,Drama
Munna Bhai M.B.B.S.,2003,156,8.1,,74712,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Sunil Dutt",,Comedy
Salinui chueok,2003,131,8.1,82.0,144995,Bong Joon Ho,"Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song",0.01,Crime
Dil Chahta Hai,2001,183,8.1,,67372,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta",0.3,Comedy
Kill Bill: Vol. 1,2003,111,8.1,69.0,1013404,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",70.1,Action
Finding Nemo,2003,100,8.1,90.0,960268, Lee Unkrich,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",380.84,Animation
Catch Me If You Can,2002,141,8.1,75.0,849407,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",164.62,Biography
Amores perros,2000,154,8.1,83.0,226135,rritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero",5.38,Drama
"Monsters, Inc.",2001,92,8.1,79.0,826125, Lee Unkrich,"Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi",289.92,Animation
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,,40915, Kazuya Tsurumaki,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi",,Animation
Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,106022,Ashutosh Gowariker,"Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley",0.07,Drama
The Sixth Sense,1999,107,8.1,64.0,920103, Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",293.51,Drama
La leggenda del pianista sull'oceano,1998,169,8.1,,59737,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn",0.26,Drama
The Truman Show,1998,103,8.1,90.0,955686,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich",125.62,Comedy
"Crna macka, beli macor",1998,127,8.1,73.0,51352,Emir Kusturica,"Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini",0.35,Comedy
The Big Lebowski,1998,117,8.1,71.0,741421, Ethan Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",17.5,Comedy
Fa yeung nin wah,2000,98,8.1,85.0,128276,Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu, Tung Cho 'Joe' Cheung",2.73,Drama
Trainspotting,1996,93,8.1,83.0,641017,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd",16.5,Drama
Fargo,1996,98,8.1,85.0,625363, Ethan Coen,"William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare",24.61,Crime
Underground,1995,170,8.1,,55688,Emir Kusturica,"Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac",0.17,Comedy
La haine,1995,98,8.1,,153574,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",0.31,Crime
Dilwale Dulhania Le Jayenge,1995,189,8.1,,64121,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal",,Drama
Before Sunrise,1995,101,8.1,77.0,277051,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl",5.54,Drama
Trois couleurs: Rouge,1994,99,8.1,100.0,92475,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit",4.04,Drama
Chung Hing sam lam,1994,102,8.1,77.0,65740,Wai Wong,"Brigitte Lin, Takeshi Kaneshiro, Tony Chiu-Wai Leung, Faye Wong",0.6,Comedy
Jurassic Park,1993,127,8.1,68.0,879469,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",402.45,Action
In the Name of the Father,1993,133,8.1,84.0,159941,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King",25.01,Biography
Ba wang bie ji,1993,171,8.1,,25512,Kaige Chen,"Leslie Cheung, Fengyi Zhang, Gong Li, You Ge",5.22,Drama
Dà hóng denglong gaogao guà,1991,125,8.1,,30020,Yimou Zhang,"Gong Li, Jingwu Ma, Saifei He, Cuifen Cao",2.6,Drama
Dead Poets Society,1989,128,8.1,79.0,433899,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",95.86,Comedy
Stand by Me,1986,89,8.1,75.0,367650,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell",52.29,Adventure
Platoon,1986,120,8.1,92.0,385565,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David",138.53,Drama
Sacrifice,1986,149,8.1,,25100,Andrei Tarkovsky,"Erland Josephson, Susan Fleetwood, Allan Edwall, Guðrún Gísladóttir",0.3,Drama
"Paris, Texas",1984,145,8.1,78.0,93988,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry",2.18,Drama
Kaze no tani no Naushika,1984,117,8.1,86.0,153893,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",0.5,Animation
The Thing,1982,109,8.1,,376309,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur",13.78,Horror
Pink Floyd: The Wall,1982,95,8.1,,76745,Alan Parker,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David",22.24,Drama
Fitzcarraldo,1982,158,8.1,,32087,Werner Herzog,"Klaus Kinski, Claudia Cardinale, José Lewgoy, Miguel Ángel Fuentes",,Adventure
Fanny och Alexander,1982,188,8.1,100.0,58305,Ingmar Bergman,"Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt",4.97,Drama
Blade Runner,1982,117,8.1,84.0,701986,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",32.87,Action
The Elephant Man,1980,124,8.1,78.0,223040,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud",,Biography
Life of Brian,1979,94,8.1,77.0,371608,Terry Jones,"Graham Chapman, John Cleese, Michael Palin, Terry Gilliam",20.05,Comedy
The Deer Hunter,1978,183,8.1,86.0,315289,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, John Savage",48.98,Drama
Rocky,1976,120,8.1,70.0,525410, Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",117.24,Drama
Network,1976,121,8.1,83.0,146677,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",,Drama
Barry Lyndon,1975,185,8.1,89.0,152475,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger",,Adventure
Zerkalo,1975,107,8.1,80.0,40951,Andrei Tarkovsky,"Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev, Oleg Yankovskiy",0.18,Biography
Chinatown,1974,130,8.1,92.0,298568,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",8.49,Drama
Paper Moon,1973,102,8.1,77.0,42776,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman",30.93,Comedy
Viskningar och rop,1972,91,8.1,,30793,Ingmar Bergman,"Harriet Andersson, Liv Ullmann, Kari Sylwan, Ingrid Thulin",1.74,Drama
Solaris,1972,167,8.1,90.0,82396,Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy",,Drama
Le samouraï,1967,105,8.1,,46303,Pierre Melville,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier",0.04,Crime
Cool Hand Luke,1967,127,8.1,92.0,163986,Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin, J.D. Cannon",16.22,Crime
Persona,1966,85,8.1,86.0,105596,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand",,Drama
Andrei Rublev,1966,205,8.1,,48105,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev",0.1,Biography
La battaglia di Algeri,1966,121,8.1,96.0,54091,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash",0.06,Drama
El ángel exterminador,1962,95,8.1,,30160,uel,"Silvia Pinal, Jacqueline Andere, Enrique Rambal, José Baviera",,Drama
What Ever Happened to Baby Jane?,1962,134,8.1,75.0,50841,Robert Aldrich,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy",4.05,Drama
Sanjuro,1962,96,8.1,,33697,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô",,Action
The Man Who Shot Liberty Valance,1962,123,8.1,94.0,69712,John Ford,"James Stewart, John Wayne, Vera Miles, Lee Marvin",,Drama
Ivanovo detstvo,1962,95,8.1,,32441, Eduard Abalov,"Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov, Stepan Krylov",,Drama
Jungfrukällan,1960,89,8.1,,27055,Ingmar Bergman,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson",1.53,Drama
Inherit the Wind,1960,128,8.1,75.0,27671,Stanley Kramer,"Spencer Tracy, Fredric March, Gene Kelly, Dick York",,Biography
Les quatre cents coups,1959,99,8.1,,107213,ois Truffaut,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble",,Crime
Ben-Hur,1959,212,8.1,90.0,222050,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet",74.7,Adventure
Kakushi-toride no san-akunin,1958,139,8.1,,35489,Akira Kurosawa,"Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara",,Adventure
Le notti di Cabiria,1957,110,8.1,,43502,Federico Fellini,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray",0.75,Drama
Kumonosu-jo,1957,110,8.1,,47441,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura",,Drama
The Bridge on the River Kwai,1957,161,8.1,87.0,205811,David Lean,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",44.91,Adventure
Du rififi chez les hommes,1955,118,8.1,97.0,30065,Jules Dassin,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey",0.06,Crime
On the Waterfront,1954,108,8.1,91.0,143854,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",9.6,Crime
Le salaire de la peur,1953,131,8.1,85.0,55517,Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli",,Adventure
Ace in the Hole,1951,111,8.1,72.0,32116,Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall",3.97,Drama
White Heat,1949,114,8.1,,30151,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly",,Action
The Third Man,1949,104,8.1,97.0,160686,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard",0.45,Film-Noir
The Red Shoes,1948,135,8.1,,31487, Emeric Pressburger,"Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann",10.9,Drama
The Shop Around the Corner,1940,99,8.1,96.0,28869,Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut",0.2,Comedy
Rebecca,1940,130,8.1,86.0,125689,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",4.36,Drama
Mr. Smith Goes to Washington,1939,129,8.1,73.0,108137,Frank Capra,"James Stewart, Jean Arthur, Claude Rains, Edward Arnold",9.6,Comedy
Gone with the Wind,1939,238,8.1,97.0,293305, Sam Wood,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil",198.68,Drama
La Grande Illusion,1937,113,8.1,,34181,Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim",0.17,Drama
It Happened One Night,1934,105,8.1,87.0,95393,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",4.36,Comedy
La passion de Jeanne d'Arc,1928,110,8.1,,48764,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz",0.02,Biography
The Circus,1928,72,8.1,90.0,30743,Charles Chaplin,"Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker",,Comedy
Sunrise: A Song of Two Humans,1927,94,8.1,,47286, Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",0.54,Drama
The General,1926,67,8.1,,82299, Buster Keaton,"Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",1.03,Action
Das Cabinet des Dr. Caligari,1920,76,8.1,,58203,Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover",,Fantasy
Badhaai ho,2018,124,8.0,,28590,Amit Ravindernath Sharma,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra",,Comedy
Togo,2019,113,8.0,69.0,39807,Ericson Core,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer",,Adventure
Airlift,2016,130,8.0,,53207,Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi",,Drama
Bajrangi Bhaijaan,2015,163,8.0,,73269,Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",8.18,Action
Baby,2015,159,8.0,,53207,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu",,Action
La La Land,2016,128,8.0,94.0,515895,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",151.1,Comedy
Lion,2016,118,8.0,69.0,217689,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",51.74,Biography
The Martian,2015,144,8.0,80.0,771047,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",228.43,Adventure
Zootopia,2016,108,8.0,78.0,441094, Jared Bush,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",341.27,Animation
Bãhubali: The Beginning,2015,159,8.0,,104257, Rajamouli,"Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj",6.74,Action
Kaguyahime no monogatari,2013,137,8.0,89.0,39995,Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden",1.51,Animation
Wonder,2017,113,8.0,66.0,145866,Stephen Chbosky,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts",132.42,Drama
Gully Boy,2019,154,8.0,65.0,32709,Zoya Akhtar,"Vijay Varma, Nakul Roshan Sahdev, Ranveer Singh, Vijay Raaz",5.57,Drama
Special Chabbis,2013,144,8.0,,51526,Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill",1.08,Crime
Short Term 12,2013,96,8.0,82.0,82867,Destin Daniel Cretton,"Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever",1.01,Drama
Serbuan maut 2: Berandal,2014,150,8.0,71.0,115354,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",2.63,Action
The Imitation Game,2014,114,8.0,73.0,695145,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",91.13,Biography
Guardians of the Galaxy,2014,121,8.0,76.0,1058178,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",333.18,Action
Blade Runner 2049,2017,164,8.0,81.0,473872,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",92.05,Action
Her,2013,126,8.0,90.0,549754,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara",25.57,Drama
Bohemian Rhapsody,2018,134,8.0,,463350,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",216.43,Biography
The Revenant,2015,156,8.0,76.0,716966,rritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",183.64,Action
The Perks of Being a Wallflower,2012,103,8.0,67.0,468377,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",17.74,Drama
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8.0,71.0,79796, Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz",0.1,Action
The King's Speech,2010,118,8.0,88.0,645669,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi",138.8,Biography
The Help,2011,146,8.0,62.0,432792,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",169.71,Drama
Deadpool,2016,108,8.0,65.0,916035,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",363.07,Action
Darbareye Elly,2009,119,8.0,87.0,46967,Asghar Farhadi,"Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Merila Zare'i",0.11,Drama
Dev.D,2009,144,8.0,,28973,Anurag Kashyap,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya",0.01,Drama
Yip Man,2008,106,8.0,,212928,Wilson Yip,"Donnie Yen, Simon Yam, Siu-Wong Fan, Ka Tung Lam",,Action
My Name Is Khan,2010,165,8.0,,99444,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie A. Keane",4.02,Drama
Nefes: Vatan Sagolsun,2009,128,8.0,,32112, Erdem Can,"Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç",,Action
